"se0","se6","t0","t6"
0.081579887303895,0.0556252660264602,0.557620594559867,0.903914793376227
0.0423254136401896,0.0436911102393351,2.03183419792724,2.10507494273243
0.0833502409221183,0.0565974698242216,-1.99161025430261,-1.93645457164249
0.0695206522611248,0.0592966165067728,0.899856040445998,0.994190233254157
0.0362053826717478,0.0291698281634404,0.148418065812316,0.594514885846375
0.149788992648487,0.148966086565424,0.704892207840624,0.842711901930776
0.045271809733991,0.0423945115191453,-0.734801216340217,-0.857650248454297
0.0564679400082775,0.0549941435587416,0.256333146106465,0.49811535673425
0.0655051728913728,0.0633970337666531,1.8240809504871,2.10052363474033
0.107238088206032,0.105938590118913,1.39630527173354,1.51694396961786
0.0495864264956797,0.046986985616372,-0.444091450425164,-0.138201884341736
0.0590140403200787,0.0605947309987746,1.99944020150331,1.95100377563625
0.0589311056106808,0.0595805504767659,-0.534072781583889,-0.985516020733727
0.0419908570968646,0.0415360844810821,1.40007490472757,0.829924623132683
0.0641905462627078,0.0392013115464364,0.659942264343039,1.90152392126382
0.0849543336124943,0.0868544980472958,-0.612655742037366,-0.796932032067948
0.0597828136679056,0.0615009224823916,-0.390815426017495,-0.355034347465149
0.0465319496102276,0.0443743152805969,1.04477144477754,1.00847893652869
0.058123630160355,0.0423699676096329,-0.132683268165254,0.296587330122003
0.0439881092617009,0.037564630247812,0.106450840877953,0.588455325620498
0.0300108001795648,0.0274660361551673,-2.40226881017827,-2.42173099931117
0.14456708319117,0.148383590448938,-1.31991567618142,-1.41428457619041
0.134785982160831,0.138320059804546,0.155718531291453,0.312830863671361
0.0618843047286946,0.0373046103289356,-0.561283131868073,-0.378469870700863
0.127409005042906,0.13168588547971,0.80804332715966,0.62815900652912
0.122774805033291,0.12200571926416,-0.570271007395032,-1.09020760296722
0.0550125237866677,0.0540798347744658,1.62169924665168,1.52099170318869
0.0385330489607302,0.0370827052024891,0.326196778116351,-0.233390675708753
0.0563676187898498,0.0564457904426717,-0.174511529370918,-0.209769914244295
0.0426426093771026,0.0417297075566187,0.315282875200212,0.69578644645456
0.0471429639628737,0.0484409506412958,2.32430320348423,2.08254802408742
0.0528208417435402,0.0467640114558041,0.893048311779911,0.665020027253167
0.119512276647541,0.122716145270136,0.492320713339218,0.47459445719693
0.114000528298885,0.116068535599935,1.0968368605569,0.722037283184117
0.0524144318946971,0.0381184673640235,0.59225616338255,1.1743968387413
0.0459161796833045,0.042599442554744,0.873756816908271,0.255333645713759
0.0805376762189287,0.0847356281472641,-1.12394266225909,-0.851747831424632
0.0621283732001777,0.0605204445237345,0.524207716800855,0.297848624261574
0.0485184701554267,0.0454189757526161,-0.53535344739851,-0.793466669741287
0.075031235880386,0.0698159037104962,0.364941178615834,-0.0662875884071621
0.0451159060742359,0.0408058763627866,0.535305932463763,0.791699971570219
0.0920823553915981,0.0899272689061566,0.348559074140778,-0.0934337099568871
0.0944996655457525,0.0896525872661911,0.687887590010725,0.338946889296802
0.065591085070989,0.0670347952935846,-0.853259538162321,-0.455436682464954
0.0628479394429011,0.0653010590630161,0.0788325471041854,0.253315173032239
0.0676904442918089,0.0545746961509274,0.191454108884703,-0.0355651076077528
0.0465955936570055,0.038658126791177,-0.16856374610204,-0.0739562741985615
0.0664167116186318,0.0471792112601574,0.0616013808530041,0.219932041108872
0.0466937610920732,0.0467572075747649,-0.176340745136368,-0.202612176584938
