"exp","k0","k6"
3.3440053861054,3.06370499747251,3.2941275278831
3.34273922053827,3.06336531257879,3.29179858065651
3.3414767356902,3.06176351254956,3.29113080389627
3.34021791022362,3.05991116119175,3.29023468397744
3.33896272298602,3.05677543567593,3.29010328894862
3.33771115300771,3.05614157266208,3.28883852155179
3.33646317949981,3.05473637582842,3.28660814000486
3.33521878185214,3.05330273204101,3.2793064249615
3.33397793963116,3.05155693279224,3.27859262674161
3.332740632578,3.05114298343029,3.27812192622673
3.33150684060642,3.0504652412061,3.27739253485586
3.33027654380092,3.05045636285177,3.27732081755224
3.32904972241476,3.05032025122752,3.27699099537604
3.32782635686806,3.04986772443088,3.27665859828431
3.32660642774596,3.04964482775739,3.27660827027918
3.32538991579674,3.04947436296813,3.27654726177655
3.32417680193002,3.04889638457906,3.27615715278514
3.32296706721494,3.04800913007976,3.27482742091353
3.32176069287839,3.04744483304407,3.27461270903863
3.32055766030329,3.04435364866278,3.27265626726266
3.31935795102683,3.04226953301396,3.27257944696858
3.31816154673878,3.04214943103895,3.27249382615096
3.31696842927985,3.04186253624013,3.27115505212338
3.31577858063996,3.04175411761534,3.27059866972799
3.31459198295669,3.03918958330523,3.27020247204322
3.31340861851363,3.03723869317337,3.26971176682309
3.31222846973877,3.03686069191673,3.26964803258714
3.311051519203,3.03385196596712,3.2691461398825
3.30987774961849,3.03373298519574,3.26895102296477
3.30870714383725,3.03319154720737,3.26862927783988
3.30753968484953,3.03262121237386,3.26853186665957
3.30637535578242,3.03247851123234,3.2677917428118
3.30521413989836,3.03214967968027,3.26636034711534
3.30405602059365,3.03172515879776,3.26615730723425
3.30290098139712,3.03148452520691,3.26353406562704
3.30174900596863,3.03065854019224,3.26335386138443
3.30060007809775,3.03062834168574,3.2631388536625
3.29945418170234,3.03007857032321,3.26181389287835
3.29831130082725,3.02992681644965,3.26084418831647
3.29717141964294,3.02975926532575,3.26016721495706
3.2960345224442,3.02960507600854,3.259077990031
3.29490059364884,3.02871123962584,3.25884529443962
3.29376961779639,3.02795023748895,3.25853888059898
3.29264157954686,3.02449000036432,3.25774674312509
3.2915164636795,3.02299978472562,3.25766336038699
3.29039425509151,3.02122637366286,3.2573112597961
3.28927493879691,3.02118168811249,3.25689876911926
3.28815849992526,3.02083294275392,3.25558712406312
3.28704492372052,3.0200134545011,3.25476565458382
3.28593419553988,3.01971770120544,3.25385214155567
3.28482630085257,3.01959467676584,3.25371878595872
3.28372122523876,3.01946260054674,3.25308542164276
3.2826189543884,3.01838909086499,3.2529823230611
3.28151947410015,3.01809277425261,3.25179418401708
3.28042277028022,3.01631798326897,3.25174630166003
3.27932882894135,3.01563387105343,3.25055262859573
3.27823763620171,3.01433318154243,3.25051353688195
3.27714917828383,3.01312280523555,3.24441737562097
3.27606344151358,3.01238195302674,3.24436239420871
3.27498041231914,3.01148905063994,3.24307929327771
3.27390007722995,3.01106984132382,3.24165518234249
3.27282242287575,3.00951429385834,3.23960093501219
3.27174743598555,3.00844773464846,3.2389001520753
3.27067510338667,3.00814865401939,3.23754128968825
3.26960541200375,3.00764339320753,3.23752759943762
3.26853834885785,3.00679125528153,3.23679918684666
3.26747390106541,3.00597969391635,3.23653050257718
3.2664120558374,3.00542375504192,3.23590345282285
3.26535280047838,3.00486679932185,3.23561927595627
3.26429612238555,3.00459177773361,3.23547336854848
3.2632420090479,3.00411054615469,3.23470537869347
3.26219044804528,3.003390057908,3.2330798172655
3.26114142704755,3.00186485095216,3.23201023779988
3.26009493381371,3.00085148140241,3.23134482829509
3.25905095619103,2.99776930315128,3.23074799038883
3.25800948211422,2.99736301182627,3.23017556104633
3.25697049960456,2.99401623865625,3.22992499370075
3.25593399676912,2.99147787843148,3.22970221725777
3.25489996179991,2.99127283565292,3.2287245564114
3.25386838297308,2.99069259973227,3.228057077834
3.25283924864813,2.98908376065297,3.22352140647391
3.25181254726711,2.9880027802331,3.22229982771433
3.25078826735387,2.98768797810413,3.22109160237662
3.24976639751323,2.98714978798709,3.21995005404213
3.2487469264303,2.98694226404943,3.21570063360046
3.24772984286965,2.98583114537337,3.21430852363146
3.24671513567462,2.98475678548603,3.21404955496175
3.24570279376658,2.98461593959615,3.21391008227607
3.24469280614417,2.98433767129879,3.21164366098199
3.24368516188261,2.98423030862119,3.2084522637336
3.24267985013301,2.98386463467,3.20826763016948
3.24167686012161,2.98305377090999,3.20819732794159
3.24067618114916,2.98261717115596,3.20739051608824
3.23967780259016,2.98228996003221,3.20703815824616
3.23868171389225,2.98209397581147,3.20552774240351
3.23768790457551,2.98191307668724,3.20279887959517
3.23669636423178,2.98184384548306,3.20254567586064
3.23570708252405,2.98079546243282,3.20195281982259
3.23472004918577,2.98025211737065,3.2018203073667
3.23373525402025,2.97997697667129,3.20028310080807
3.2327526869,2.97925527570014,3.19937353852258
3.2317723377661,2.97807746115065,3.19709928488898
3.23079419662761,2.97678613016144,3.19484055616861
3.22981825356095,2.97432206854249,3.1942914853827
3.22884449870928,2.9721016018488,3.19390221658523
3.22787292228191,2.97179369516899,3.19257181465029
3.22690351455373,2.97056325371677,3.19224647293338
3.22593626586459,2.97055749550359,3.19187610229667
3.22497116661876,2.96921986323145,3.19065200206307
3.22400820728432,2.96868863107861,3.18962002269205
3.22304737839262,2.96821848054863,3.18723916744832
3.22208867053773,2.96681913490899,3.18606725116168
3.22113207437585,2.96597603741912,3.18592188249571
3.22017758062482,2.96517109607625,3.18474263394566
3.21922518006352,2.96361198896656,3.18267566938659
3.21827486353137,2.96344724545495,3.18233768590466
3.2173266219278,2.96344254310266,3.18199570669504
3.21638044621171,2.96259552987337,3.18008853574655
3.21543632740097,2.96150525629742,3.1793061139787
3.21449425657191,2.96146919324726,3.17899469192633
3.21355422485879,2.96142389678409,3.17847535991682
3.21261622345332,2.96073361743393,3.1775865351057
